state,abbreviation,id,country
Alabama,AL,1,USA
Alaska,AK,2,USA
Arizona,AZ,3,USA
Arkansas,AR,4,USA
California,CA,5,USA
Colorado,CO,6,USA
Connecticut,CT,7,USA
Delaware,DE,8,USA
Florida,FL,9,USA
Georgia,GA,10,USA
Hawaii,HI,11,USA
Idaho,ID,12,USA
Illinois,IL,13,USA
Indiana,IN,14,USA
Iowa,IA,15,USA
Kansas,KS,16,USA
Kentucky,KY,17,USA
Louisiana,LA,18,USA
Maine,ME,19,USA
Maryland,MD,20,USA
Massachusetts,MA,21,USA
Michigan,MI,22,USA
Minnesota,MN,23,USA
Mississippi,MS,24,USA
Missouri,MO,25,USA
Montana,MT,26,USA
Nebraska,NE,27,USA
Nevada,NV,28,USA
New Hampshire,NH,29,USA
New Jersey,NJ,30,USA
New Mexico,NM,31,USA
New York,NY,32,USA
North Carolina,NC,33,USA
North Dakota,ND,34,USA
Ohio,OH,35,USA
Oklahoma,OK,36,USA
Oregon,OR,37,USA
Pennsylvania,PA,38,USA
Rhode Island,RI,39,USA
South Carolina,SC,40,USA
South Dakota,SD,41,USA
Tennessee,TN,42,USA
Texas,TX,43,USA
Utah,UT,44,USA
Vermont,VT,45,USA
Virginia,VA,46,USA
Washington,WA,47,USA
West Virginia,WV,48,USA
Wisconsin,WI,49,USA
Wyoming,WY,50,USA
Remote,Remote,51,Remote
Unspecified,Unspecified,52,Unspecified
Alberta,AB,53,Canada
British Columbia,BC,54,Canada
Manitoba,MB,55,Canada
New Brunswick,NB,56,Canada
Newfoundland and Labrador,NL,57,Canada
Nova Scotia,NS,58,Canada
Ontario,ON,59,Canada
Prince Edward Island,PE,60,Canada
Quebec,QC,61,Canada
Saskatchewan,SK,62,Canada
Northwest Territories,NT,63,Canada
Nunavut,NU,64,Canada
Yukon,YT,65,Canada
Aguadilla,PR,66,Puerto Rico
